Operating Income,,,,,,,,,
Income,Trailing 12,$/Unit,%,Current,$/Unit,%,Pro Forma,$/Unit,%
Gross Potential Rent,,,,346200,,,346200,,
Below Market Rent,,,,-77442,,-0.288147702,0,,0
Gross Scheduled Rent,,,,268758,,,346200,,
Vacancy & Collections Loss,,,,-13437.9,,0.05,-17310,,0.05
Effective Rental Income,248697.35,,,255320.1,,,328890,,
Application Fees,50,2.631578947,,100,5.263157895,,100,5.263157895,
Laundry Income,1634.75,86.03947368,,1634.75,86.03947368,,1634.75,86.03947368,
Pet Fees,0,0,,2400,126.3157895,,2400,126.3157895,
Additional Income,0,0,,1900,100,,1900,100,
Total Additional Income,1684.75,88.67105263,,6034.75,317.6184211,,6034.75,317.6184211,
,,,,,,,,,
Effective Gross Income,250382.1,,,261354.85,,,334924.75,,
,,,,,,,,,
Operating Expense,,,,Current,,,Pro Forma,,
Expense,Trailing 12,$/Unit,%,Current,$/Unit,%,Pro Forma,$/Unit,%
Property Management,25117.6,1321.978947,0.100317075,13067.7425,687.7759211,0.05,16746.2375,881.3809211,0.05
Real Estate Tax,48151.22,2534.274737,,43036.4655,2265.077132,,57000,3000,
Property Insurance,18024.66,948.6663158,,18024.66,948.6663158,,18024.66,948.6663158,
Electric,5049.76,265.7768421,,5049.76,265.7768421,,5049.76,265.7768421,
Gas,20372.27,1072.224737,,20372.27,1072.224737,,20372.27,1072.224737,
Water and Sewer,5138.4,270.4421053,,14847.4,781.4421053,,14847.4,781.4421053,
Trash Removal,2962.37,155.9142105,,2962.37,155.9142105,,2962.37,155.9142105,
Repairs and Maintenance,9313.56,490.1873684,,9500,500,,9500,500,
Landscaping/Snow Removal,0,0,,1500,78.94736842,,1500,78.94736842,
Payroll,0,0,,0,0,,0,0,
Contract Services,1940.65,102.1394737,,0,0,,0,0,
Professional and Legal,3973.06,209.1084211,,0,0,,0,0,
General and Administrative,20.16,1.061052632,,0,0,,0,0,
Leasing and Advertising,11748.68,618.3515789,,0,0,,0,0,
Total Expense,151812.39,7990.125789,0.606322856,128360.668,6755.824632,0.491135588,146002.6975,7684.3525,0.435926869
,,,,,,,,,
Net Operating Income,98569.71,,,132994.182,,,188922.0525,,
